genes	predicted_functions
drg1	uberon_0002103:0.150205532719
sdf4	uberon_0002103:0.150205532719
sdf2	uberon_0002103:0.0751027663593
tg(tnfsf13b)1fma	uberon_0002103:0.112654149539
tmem50b	uberon_0002103:0.0751027663593
tmem50a	uberon_0002103:0.0751027663593
atp6v1e2	uberon_0002103:0.073186088522
pou5f1	uberon_0002103:52.8418605805
ano2	uberon_0002103:0.0108239260946
pou5f2	uberon_0002103:0.300411065437
rsf1	uberon_0002103:0.0461707211342
hadh	uberon_0002103:2.16140324986
ngf	uberon_0002103:34.0067777984
olfr97	uberon_0002103:0.375513831796
sh2d6	uberon_0002103:0.0375513831796
capn6	uberon_0002103:0.0751027663593
olfr90	uberon_0002103:19.3765137207
apbb1	uberon_0002103:0.337962448617
apbb2	uberon_0002103:0.300411065437
npat	uberon_0002103:0.0751027663593
dmbt1	uberon_0002103:0.150205532719
terf1	uberon_0002103:0.00754949224671
ngp	uberon_0002103:0.112654149539
oprd1	uberon_0002103:0.129094485708
iqsec1	uberon_0002103:0.300411065437
gabrb1	uberon_0002103:0.075160625996
gabrb2	uberon_0002103:1.07356316553
dusp12	uberon_0002103:4.1343415116
pecam1	uberon_0002103:50.1889829854
mga	uberon_0002103:1.6522608599
exo1	uberon_0002103:2.81786193649
tcof1	uberon_0002103:25.2637710765
gm15448	uberon_0002103:0.450616598156
mge	uberon_0002103:3.45472725253
tbp	uberon_0002103:5.97955730996
c1qc	uberon_0002103:0.751027663593
ptx3	uberon_0002103:7.32777089268
sppl3	uberon_0002103:0.0751027663593
mgp	uberon_0002103:244.112165958
sptlc2	uberon_0002103:0.000376962750775
yaail	uberon_0002103:0.976335962671
sptlc1	uberon_0002103:0.0209673713139
tba	uberon_0002103:1504.73146278
btaf1	uberon_0002103:0.000573559393618
olfr308	uberon_0002103:19.4140651039
sumf2	uberon_0002103:0.337962448617
abcg1	uberon_0002103:10.3321197131
abcg2	uberon_0002103:12.9556966965
abcg3	uberon_0002103:1.13866961901
abcg4	uberon_0002103:0.112654149539
abcg5	uberon_0002103:6.41229827725
tg(myh6-brunol4*)10coop	uberon_0002103:0.0375513831796
del(17abcg5-abcg8)1hobb	uberon_0002103:0.0751027663593
abcg8	uberon_0002103:0.033837309086
h2-ab1	uberon_0002103:13.4877958285
ovch2	uberon_0002103:0.0751027663593
h3bll3_mouse	uberon_0002103:11.3901915238
atad5	uberon_0002103:1.50205532719
shb	uberon_0002103:10.8577599066
ifi30	uberon_0002103:2.66367121821
capn9	uberon_0002103:0.0375513831796
cenpf	uberon_0002103:2.57404301945
surf1	uberon_0002103:0.788579046773
pttg1	uberon_0002103:2.40811504208
surf3	uberon_0002103:4.74548934525
capn8	uberon_0002103:0.115064570666
surf4	uberon_0002103:0.52092612716
ttn	uberon_0002103:56.5435546341
erlin1	uberon_0002103:0.150205532719
erlin2	uberon_0002103:1.8609938115
prpf38a	uberon_0002103:5.67025886013
prpf38b	uberon_0002103:0.262859682258
ttl	uberon_0002103:1.29687106137
fahd2a	uberon_0002103:0.0566827379532
rpl3l	uberon_0002103:5.64699140308
tg(teto-cdk5r1/gfp)337lht	uberon_0002103:0.300411065437
hddc2	uberon_0002103:0.0375513831796
irx5	uberon_0002103:0.187756915898
irx4	uberon_0002103:0.427874901286
sec16b	uberon_0002103:1.68981224308
irx6	uberon_0002103:1.27674702811
irx1	uberon_0002103:0.187756915898
irx3	uberon_0002103:0.262859682258
rab3il1	uberon_0002103:0.751027663593
sirpa	uberon_0002103:9.05129696963
il12rb1	uberon_0002103:6.14609192371
igll1	uberon_0002103:0.00437441394846
il12rb2	uberon_0002103:15.8091010752
naip5	uberon_0002103:0.091576947656
lith16	uberon_0002103:0.863681813132
10090.ensmusp00000089348	uberon_0002103:1.09902224121
gdpd5	uberon_0002103:0.413065214976
idd21.3	uberon_0002103:0.112654149539
flot1	uberon_0002103:2.31982944142
knop1	uberon_0002103:0.901233196312
actr8	uberon_0002103:0.00437441394846
actr6	uberon_0002103:0.000573559393618
10090.ensmusp00000089343	uberon_0002103:1.23730296606
rsu1	uberon_0002103:2.66367121821
actr3	uberon_0002103:0.619721674233
lum	uberon_0002103:57.3653092887
10090.ensmusp00000089346	uberon_0002103:1.09902224121
ces2a	uberon_0002103:0.713476280413
ces2b	uberon_0002103:0.713476280413
ces2c	uberon_0002103:0.713476280413
pacrg	uberon_0002103:0.0375513831796
ces2e	uberon_0002103:0.713476280413
rpl38	uberon_0002103:6.48420974959
ces2g	uberon_0002103:0.713476280413
ces2h	uberon_0002103:0.713476280413
cryzl1	uberon_0002103:0.150205532719
rpl35	uberon_0002103:5.84978247713
tg(ela1-tag)18bri	uberon_0002103:0.262859682258
rpl31	uberon_0002103:5.24224037369
cenpw	uberon_0002103:0.0461707211342
snph	uberon_0002103:0.450616598156
anpep	uberon_0002103:3.59883894557
rpl23a-ps1	uberon_0002103:6.20903633579
gm3362	uberon_0002103:7.57887544413
spesp1	uberon_0002103:1.01388734585
atrn	uberon_0002103:19.3659164232
cenpu	uberon_0002103:3.01462530883
col15a1	uberon_0002103:35.7340402122
stat4	uberon_0002103:30.0826129039
stat3	uberon_0002103:193.301194035
stat2	uberon_0002103:0.833286227872
stat1	uberon_0002103:139.560316031
galnt6	uberon_0002103:0.563270747695
lilrb4a	uberon_0002103:0.727194661086
gldc	uberon_0002103:0.982692628642
5430419d17rik	uberon_0002103:0.0375513831796
zfp830	uberon_0002103:2.47839128986
atp8b3	uberon_0002103:0.00727209547848
atp8b2	uberon_0002103:1.03853158328
atp8b1	uberon_0002103:0.826130429952
olfr1100	uberon_0002103:19.3765137207
olfr1107	uberon_0002103:0.375513831796
olfr1106	uberon_0002103:0.375513831796
atp8b5	uberon_0002103:11.3901915238
olfr1104	uberon_0002103:19.3765137207
ten1	uberon_0002103:0.150205532719
xbp1	uberon_0002103:36.5979239573
meaf6	uberon_0002103:0.437280885589
gemin8	uberon_0002103:0.204854544336
xpo5	uberon_0002103:0.00727209547848
xpo4	uberon_0002103:0.225308299078
xpo7	uberon_0002103:0.0751027663593
xpo6	uberon_0002103:0.638373514054
sqle	uberon_0002103:0.715494540242
tg(prrx1-hand2)6eno	uberon_0002103:172.674102286
gm14474	uberon_0002103:0.938784579491
ttbk2	uberon_0002103:0.0159667203315
ttbk1	uberon_0002103:0.112654149539
sbf1	uberon_0002103:1.50205532719
trim40	uberon_0002103:0.127746705953
aoc1	uberon_0002103:0.000573559393618
aoc3	uberon_0002103:0.976335962671
aoc2	uberon_0002103:0.751027663593
tbce	uberon_0002103:0.0231308629172
tbcd	uberon_0002103:0.600822130874
tbcc	uberon_0002103:0.0375513831796
tbcb	uberon_0002103:0.300411065437
tbca	uberon_0002103:0.488167981335
npnt	uberon_0002103:22.7803830475
sars	uberon_0002103:0.109135705074
yaa	uberon_0002103:0.112654149539
mobq2	uberon_0002103:1.68981224308
olfr441	uberon_0002103:19.3765137207
olfr444	uberon_0002103:19.3765137207
xpot	uberon_0002103:0.409709088672
tusc2	uberon_0002103:6.9893799878
olfr447	uberon_0002103:19.3765137207
olfr448	uberon_0002103:19.3765137207
olfr449	uberon_0002103:19.3765137207
ift43_mouse	uberon_0002103:9.36413751024
cdc34	uberon_0002103:1.95267192534
cct8l1	uberon_0002103:0.488167981335
mamstr	uberon_0002103:0.0375513831796
cdc37	uberon_0002103:0.464790723703
git1	uberon_0002103:0.614563633008
git2	uberon_0002103:1.07328634956
gfi1	uberon_0002103:0.875388049703
otp	uberon_0002103:0.638373514054
olfr620	uberon_0002103:0.375513831796
s100g	uberon_0002103:0.112654149539
mobq7	uberon_0002103:1.35184979447
s100b	uberon_0002103:0.155379203611
ypel5	uberon_0002103:0.187756915898
dennd2c	uberon_0002103:0.112654149539
dennd2a	uberon_0002103:0.112654149539
ypel1	uberon_0002103:0.225308299078
tmem126b	uberon_0002103:1.91512054216
ypel3	uberon_0002103:52.4756967832
ypel2	uberon_0002103:0.225308299078
9930012k11rik	uberon_0002103:3.45472725253
cep192	uberon_0002103:0.688652034268
ahsa1	uberon_0002103:0.000190216768717
ahsa2	uberon_0002103:0.666890548528
ugt1a7c	uberon_0002103:0.00451907174328
defb22	uberon_0002103:0.262859682258
mgrn1	uberon_0002103:0.337962448617
sgpp2	uberon_0002103:2.32591166438
sgpp1	uberon_0002103:0.614563633008
sphk2	uberon_0002103:1.95267192534
sphk1	uberon_0002103:1.171422772
srrm2	uberon_0002103:5.05418373068
ralgds	uberon_0002103:0.00251649741557
olfr1245	uberon_0002103:19.3765137207
trp53bp1	uberon_0002103:0.222622815928
trp53bp2	uberon_0002103:9.98209818896
srrm4	uberon_0002103:0.669798057722
eci3	uberon_0002103:1.57306433105
ank1	uberon_0002103:16.5708937237
ank2	uberon_0002103:11.9537241797
ank3	uberon_0002103:2.12166580439
d19ertd386e	uberon_0002103:0.0751027663593
ngly1	uberon_0002103:0.488167981335
glb1	uberon_0002103:11.7903933153
crcp	uberon_0002103:0.549511120604
rif1	uberon_0002103:1.38940117765
f2r	uberon_0002103:0.990438471991
adora1	uberon_0002103:0.138785177503
klk13	uberon_0002103:0.0375513831796
klk10	uberon_0002103:0.0375513831796
klk11	uberon_0002103:0.0375513831796
mkiaa1799	uberon_0002103:0.059987543249
nrde2	uberon_0002103:0.751027663593
klk14	uberon_0002103:0.187756915898
ina	uberon_0002103:0.0375513831796
sc5d	uberon_0002103:2.5355859439
ifnab	uberon_0002103:1.0608329022
prl7c1	uberon_0002103:0.409709088672
iscu	uberon_0002103:1.08899011221
dnase2b	uberon_0002103:0.563270747695
tmod1	uberon_0002103:1.49384526801
caprin1	uberon_0002103:0.150205532719
tmod3	uberon_0002103:0.751027663593
tmod2	uberon_0002103:0.375513831796
gm10064	uberon_0002103:4.67482864353
nr0b1	uberon_0002103:6.97773499313
cacnb3	uberon_0002103:0.255493411905
dhcr7	uberon_0002103:1.81228680646
flrt1	uberon_0002103:91.12153219
cdh8	uberon_0002103:0.00399168008288
flrt3	uberon_0002103:48.1372710846
hpx	uberon_0002103:5.80859527036
psmc1	uberon_0002103:5.17982332988
cdh1	uberon_0002103:154.865138456
cdh3	uberon_0002103:2.23966048099
cdh2	uberon_0002103:103.786652347
cdh5	uberon_0002103:99.1417995204
cdh4	uberon_0002103:13.5009773701
cdh7	uberon_0002103:0.115064570666
cdh6	uberon_0002103:0.0566827379532
tg(tagln-slc6a4)#edd	uberon_0002103:0.0375513831796
pglyrp3	uberon_0002103:0.112654149539
prpf39	uberon_0002103:0.52092612716
scly	uberon_0002103:0.788579046773
rgs5	uberon_0002103:0.536643174781
creld2	uberon_0002103:0.187756915898
ifna2	uberon_0002103:0.937615748723
prpf31	uberon_0002103:8.71474647977
rnf31	uberon_0002103:3.11559474983
ifna7	uberon_0002103:1.0608329022
tg(prnp-sod1*g37r,-psen1)110dbo	uberon_0002103:27.6622825567
ifna5	uberon_0002103:0.864310703765
ifna4	uberon_0002103:0.995960525703
exosc8	uberon_0002103:3.30279824122
exosc9	uberon_0002103:3.23061801409
ing2	uberon_0002103:0.0162979956954
tg(pcp2-atxn1*82q*s776d)5horr	uberon_0002103:1.57715809355
exosc2	uberon_0002103:2.87113101036
exosc3	uberon_0002103:3.01462530883
exosc1	uberon_0002103:2.79954889148
atic	uberon_0002103:1.99022330852
zyx	uberon_0002103:8.79473328054
exosc5	uberon_0002103:3.0865273327
sdr39u1	uberon_0002103:0.0751027663593
mirc31	uberon_0002103:0.600822130874
ift140	uberon_0002103:6.23118949965
gm3244	uberon_0002103:2.70369958893
ropn1	uberon_0002103:1.31429841129
sptb	uberon_0002103:3.1583198039
tg(myh6/teto-prkag2*n488i)1chib	uberon_0002103:0.187756915898
lrrc41	uberon_0002103:0.0375513831796
oosp1	uberon_0002103:0.0375513831796
fat1	uberon_0002103:14.6555417854
rabggta	uberon_0002103:0.450616598156
eif2a	uberon_0002103:0.00399168008288
lrrc47	uberon_0002103:0.189123235117
lrrc46	uberon_0002103:11.3901915238
lrrc49	uberon_0002103:2.66367121821
lrrc48	uberon_0002103:6.9893799878
h2-m9	uberon_0002103:2.32818575714
adora2a	uberon_0002103:14.444554578
adora2b	uberon_0002103:7.31301003056
cand2	uberon_0002103:0.262859682258
cand1	uberon_0002103:0.375513831796
loxl1	uberon_0002103:27.6622825567
h2-m1	uberon_0002103:2.32818575714
pag1	uberon_0002103:0.0216478521891
tle1	uberon_0002103:1.18846756122
mdc1	uberon_0002103:0.0626261916175
h2-m5	uberon_0002103:2.32818575714
tle6	uberon_0002103:0.337962448617
ncr1	uberon_0002103:0.696919282692
tle4	uberon_0002103:6.41229827725
sprr2h	uberon_0002103:0.0375513831796
sprr2d	uberon_0002103:0.0375513831796
ots1	uberon_0002103:0.638373514054
rfxap	uberon_0002103:2.0671707558
ppp1r1a	uberon_0002103:1.08899011221
slpi	uberon_0002103:0.000190216768717
lrrc4c	uberon_0002103:0.530416451098
lrrc4b	uberon_0002103:2.66367121821
olfr1164	uberon_0002103:0.375513831796
gemin7	uberon_0002103:0.437280885589
cyp4v3	uberon_0002103:0.600822130874
acap1	uberon_0002103:0.0375513831796
acap2	uberon_0002103:0.0375513831796
acap3	uberon_0002103:0.300411065437
gm973	uberon_0002103:0.000380433537433
rgsc662	uberon_0002103:0.525719364515
pddc1	uberon_0002103:0.0375513831796
hes1	uberon_0002103:6.82701484206
bcl6	uberon_0002103:45.9872303661
hes5	uberon_0002103:9.05129696963
hes6	uberon_0002103:0.187756915898
bcl2	uberon_0002103:207.497665817
ivl	uberon_0002103:4.1343415116
sypl2	uberon_0002103:4.1343415116
olfr1163	uberon_0002103:19.3765137207
cx3cr1	uberon_0002103:20.3249955735
nat3	uberon_0002103:0.150205532719
nat2	uberon_0002103:0.187756915898
nat1	uberon_0002103:0.150205532719
ndufb8	uberon_0002103:3.41717586935
nrxn3	uberon_0002103:0.113365475906
nrxn2	uberon_0002103:0.855749802572
nrxn1	uberon_0002103:2.69138168778
pih1d1	uberon_0002103:0.450616598156
gngt2	uberon_0002103:0.29631447303
gngt1	uberon_0002103:15.3404791479
tcrbe	uberon_0002103:0.187756915898
gosr2	uberon_0002103:0.869279271499
gm44503	uberon_0002103:0.150205532719
olfr1463	uberon_0002103:19.3765137207
9430007a20rik	uberon_0002103:0.0375513831796
popoa	uberon_0002103:0.375513831796
hpgds	uberon_0002103:2.80257569851
mhdaali7	uberon_0002103:0.113365475906
agps	uberon_0002103:0.713476280413
vsig8	uberon_0002103:0.0375513831796
coprs	uberon_0002103:0.757704749312
vsig2	uberon_0002103:0.0375513831796
zfp449	uberon_0002103:0.0751027663593
epgn	uberon_0002103:0.0375513831796
nid2	uberon_0002103:38.0796077838
nid1	uberon_0002103:43.2697492028
gm10696	uberon_0002103:0.310249149129
ube2fb	uberon_0002103:1.05143872903
2010321m09rik	uberon_0002103:0.788438370711
clrn1	uberon_0002103:1.8400177758
mthfd2l	uberon_0002103:0.281593965635
izumo1	uberon_0002103:1.05143872903
rsrc1	uberon_0002103:5.24224037369
mbtd1	uberon_0002103:0.265208225549
tg(sod1*)d-14dbo	uberon_0002103:0.0375513831796
9230110f15rik	uberon_0002103:0.187756915898
gtpbp6	uberon_0002103:0.337962448617
scn1b	uberon_0002103:0.075160625996
kif18a	uberon_0002103:5.40486250847
tmem196	uberon_0002103:0.0375513831796
scn1a	uberon_0002103:0.125664098882
obq12	uberon_0002103:1.35184979447
tmem199	uberon_0002103:0.150205532719
obq10	uberon_0002103:1.35184979447
obq11	uberon_0002103:1.35184979447
cyp2b23	uberon_0002103:0.0925234516688
obq15	uberon_0002103:1.35184979447
dchs1	uberon_0002103:19.3659164232
agp1	uberon_0002103:11.6718395523
sh2d4a	uberon_0002103:0.0751027663593
tg(zfp38)d1htz	uberon_0002103:0.0375513831796
amz2	uberon_0002103:0.0375513831796
il4ra	uberon_0002103:23.9074483594
hus1	uberon_0002103:0.663029062069
ahnak	uberon_0002103:0.337962448617
gtpbp2	uberon_0002103:7.32558210495
sestd1	uberon_0002103:20.9681399634
tmie	uberon_0002103:1.53960671037
ngfr	uberon_0002103:185.142078967
ndel1	uberon_0002103:1.1770073973
muc5b	uberon_0002103:0.00376191587123
ghsr	uberon_0002103:0.0352154574292
th	uberon_0002103:10.0882559166
mex3b	uberon_0002103:0.638373514054
mex3c	uberon_0002103:6.9893799878
tg(gfap-src)2aag	uberon_0002103:0.300411065437
bscl2	uberon_0002103:96.6470623122
otulin	uberon_0002103:0.150205532719
tg(mmtv-erbb2)nb1mul	uberon_0002103:0.187756915898
mthfsd	uberon_0002103:0.225308299078
vash1	uberon_0002103:0.0751027663593
gstcd	uberon_0002103:0.0375513831796
b2b1470clo	uberon_0002103:0.0375513831796
rpl13a	uberon_0002103:6.90796700942
olfr1249	uberon_0002103:19.2638595712
ti	uberon_0002103:0.337962448617
mlph	uberon_0002103:0.450616598156
vtbt9	uberon_0002103:1.05143872903
vtbt8	uberon_0002103:1.05143872903
rgsc850	uberon_0002103:3.45472725253
zfp597	uberon_0002103:0.0375513831796
smarcb1	uberon_0002103:19.590245691
vtbt1	uberon_0002103:1.05143872903
rgsc848	uberon_0002103:0.488167981335
vtbt2	uberon_0002103:1.05143872903
vtbt5	uberon_0002103:1.05143872903
vtbt4	uberon_0002103:1.05143872903
vtbt7	uberon_0002103:1.05143872903
vtbt6	uberon_0002103:1.05143872903
zscan18	uberon_0002103:0.0375513831796
keg1	uberon_0002103:0.0375513831796
magt1	uberon_0002103:0.450616598156
alkbh8	uberon_0002103:0.669798057722
alkbh6	uberon_0002103:24.667728898
zscan10	uberon_0002103:22.9602079528
tg(amelx-dspp/dpp)13mlp	uberon_0002103:1.23919564493
alkbh5	uberon_0002103:0.127746705953
alkbh2	uberon_0002103:6.9893799878
lmna	uberon_0002103:289.213869488
alkbh1	uberon_0002103:1.62918325479
haus8	uberon_0002103:0.688652034268
haus6	uberon_0002103:0.714523515029
haus7	uberon_0002103:0.688652034268
haus4	uberon_0002103:0.766981572617
haus5	uberon_0002103:0.688652034268
haus2	uberon_0002103:0.688652034268
haus3	uberon_0002103:1.09902224121
chp2	uberon_0002103:4.88754976436
setdb1	uberon_0002103:0.00057065030615
galr3	uberon_0002103:0.492679488046
galr2	uberon_0002103:0.0700248044746
galr1	uberon_0002103:0.110626567408
vps8	uberon_0002103:0.375513831796
huwe1	uberon_0002103:2.45840767595
dilp4	uberon_0002103:0.600822130874
dilp3	uberon_0002103:0.600822130874
rgsc852	uberon_0002103:3.45472725253
mb21d1	uberon_0002103:0.375513831796
nlgn2	uberon_0002103:0.600244815962
nlgn3	uberon_0002103:1.19961298186
olfr1318	uberon_0002103:0.375513831796
nlgn1	uberon_0002103:0.277762075957
olfr1316	uberon_0002103:0.375513831796
oaz2	uberon_0002103:1.87756915898
olfr1314	uberon_0002103:0.375513831796
del(5d5mit73-d5mit351)5jcs	uberon_0002103:0.0375513831796
olfr1313	uberon_0002103:0.375513831796
olfr1310	uberon_0002103:19.3765137207
trim21	uberon_0002103:0.357747270121
hi	uberon_0002103:0.0751027663593
prima1	uberon_0002103:0.0375513831796
rpl22l1	uberon_0002103:4.0777818005
hm	uberon_0002103:0.262859682258
hc	uberon_0002103:0.0704910185106
oaz1	uberon_0002103:1.87756915898
tg(tyr,col1a1-trps1)1brle	uberon_0002103:0.751027663593
gm7589	uberon_0002103:7.43874519074
sclt1	uberon_0002103:0.491346314321
zbtb42	uberon_0002103:0.112654149539
ccna2	uberon_0002103:0.372210399946
bcs1l	uberon_0002103:1.20164426175
ccna1	uberon_0002103:6.49730984506
march9	uberon_0002103:0.600822130874
gm6576	uberon_0002103:5.06082188092
snapc1	uberon_0002103:1.30365012581
po	uberon_0002103:0.113365475906
cldn8	uberon_0002103:0.0231308629172
cldn9	uberon_0002103:0.274842349757
tg(lck-tnfsf4)1nish	uberon_0002103:0.0375513831796
olfr870	uberon_0002103:0.375513831796
cldn2	uberon_0002103:1.86701192449
olfr872	uberon_0002103:19.3765137207
olfr875	uberon_0002103:19.3765137207
cldn5	uberon_0002103:0.257492167059
eif4a3	uberon_0002103:10.3980432485
cldn7	uberon_0002103:0.091576947656
plbcq2	uberon_0002103:1.68981224308
plbcq5	uberon_0002103:1.68981224308
tg(rbp3-elovl4*)3kzh	uberon_0002103:2.06532607488
krtap9-1	uberon_0002103:0.0751027663593
jazf1	uberon_0002103:0.0375513831796
xlr4a	uberon_0002103:0.0375513831796
luzp4	uberon_0002103:0.0375513831796
lrm1	uberon_0002103:0.0751027663593
mhdakta18	uberon_0002103:3.34207310299
rgsc1475	uberon_0002103:0.262859682258
luzp1	uberon_0002103:0.187756915898
spata2	uberon_0002103:0.0375513831796
mhdakta12	uberon_0002103:3.34207310299
pdx1	uberon_0002103:5.92990304923
fcgr4	uberon_0002103:0.183870584109
fcgr3	uberon_0002103:0.533300349998
fcgr1	uberon_0002103:1.02465784848
tg(pcp2-atxn3*69q)bhirai	uberon_0002103:1.42695256083
hps5	uberon_0002103:0.938784579491
rab33a	uberon_0002103:0.638373514054
slc6a4	uberon_0002103:1.49384526801
rab33b	uberon_0002103:1.31429841129
ildr2	uberon_0002103:0.675924897234
tysnd1	uberon_0002103:1.4950170331
cep55	uberon_0002103:0.335619530111
tg(cmv-atxn3*135q)cpama	uberon_0002103:0.0375513831796
ppp2r5a	uberon_0002103:0.310203775775
ezh1	uberon_0002103:1.35446366139
tyms	uberon_0002103:1.7098151827
tymp	uberon_0002103:0.000573559393618
ezh2	uberon_0002103:29.9901944666
serpinf1	uberon_0002103:117.680824779
ppp2r5b	uberon_0002103:0.43525530719
nfil3	uberon_0002103:4.19447433318
acly	uberon_0002103:4.44381491112
spout1	uberon_0002103:0.488167981335
spata4	uberon_0002103:0.0375513831796
dapk3	uberon_0002103:0.863681813132
dapk2	uberon_0002103:1.20164426175
dapk1	uberon_0002103:0.0108239260946
ecsit	uberon_0002103:6.73460754525
vmn2r41	uberon_0002103:0.112654149539
vmn2r42	uberon_0002103:0.0375513831796
pdxk	uberon_0002103:0.300411065437
star	uberon_0002103:0.0142140792158
gm20538	uberon_0002103:1.23919564493
pmf1	uberon_0002103:3.52983001889
tg(c3-1-tag)cjeg	uberon_0002103:0.112654149539
eri3	uberon_0002103:24.667728898
rai14	uberon_0002103:0.150205532719
eri1	uberon_0002103:0.150205532719
prkar2a	uberon_0002103:3.11559474983
prkar2b	uberon_0002103:3.00610552316
dtnb	uberon_0002103:0.525719364515
dtna	uberon_0002103:49.0415813978
pdxp	uberon_0002103:0.375513831796
stam	uberon_0002103:0.561741110594
xab2	uberon_0002103:8.53507652939
c130026i21rik	uberon_0002103:0.0375513831796
crtap	uberon_0002103:45.600252047
olfr389	uberon_0002103:0.375513831796
hydcs1	uberon_0002103:0.262859682258
crisp4	uberon_0002103:1.27674702811
olfr382	uberon_0002103:19.3765137207
olfr381	uberon_0002103:19.3765137207
olfr380	uberon_0002103:0.375513831796
hnl	uberon_0002103:0.0375513831796
olfr385	uberon_0002103:19.3765137207
odc1	uberon_0002103:1.36374661568
pbwg1.8	uberon_0002103:1.68981224308
ptchd1	uberon_0002103:0.0751027663593
pbwg1.4	uberon_0002103:3.34207310299
pbwg1.5	uberon_0002103:2.10287745806
pbwg1.6	uberon_0002103:2.0277746917
pbwg1.7	uberon_0002103:1.08899011221
fbxl20	uberon_0002103:0.714523515029
cytb	uberon_0002103:1.95177205686
fbxl22	uberon_0002103:470.987323567
syncrip	uberon_0002103:0.413065214976
tmprss11bnl	uberon_0002103:0.112654149539
atad2	uberon_0002103:0.187756915898
ndufaf3	uberon_0002103:2.51594267304
plcb1	uberon_0002103:8.5311521267
arxes1	uberon_0002103:0.337962448617
ndufaf2	uberon_0002103:2.5910454394
plcb2	uberon_0002103:2.71920924304
man2b1	uberon_0002103:18.3426735951
cybrd1	uberon_0002103:0.427874901286
olfr127	uberon_0002103:0.375513831796
olfr654	uberon_0002103:0.413065214976
olfr657	uberon_0002103:19.3765137207
olfr656	uberon_0002103:0.375513831796
olfr651	uberon_0002103:0.375513831796
olfr824	uberon_0002103:0.375513831796
olfr1026	uberon_0002103:0.375513831796
olfr652	uberon_0002103:0.375513831796
f2rl3	uberon_0002103:1.12408822939
f2rl2	uberon_0002103:2.34284554401
f2rl1	uberon_0002103:0.476658002658
olfr825	uberon_0002103:19.3765137207
olfr659	uberon_0002103:0.375513831796
olfr658	uberon_0002103:19.3765137207
olfr129	uberon_0002103:0.375513831796
olfr128	uberon_0002103:0.375513831796
pik3c2b	uberon_0002103:6.23118949965
auh	uberon_0002103:2.10287745806
mfrp	uberon_0002103:3.37962448617
tg(h2-k-il6)2srj	uberon_0002103:1.20164426175
foxred2	uberon_0002103:0.0751027663593
foxred1	uberon_0002103:1.31429841129
tnfrsf13c	uberon_0002103:0.884782286269
tg(cag-en/hoxb5,-egfp)#vchl	uberon_0002103:0.0751027663593
tg(appv717f)109ili	uberon_0002103:0.638373514054
vtbt11	uberon_0002103:1.05143872903
sptssb	uberon_0002103:0.262859682258
fh1	uberon_0002103:0.666890548528
bdwtq	uberon_0002103:1.01388734585
ndst3	uberon_0002103:8.17359689964
xlhl	uberon_0002103:0.112654149539
asq1	uberon_0002103:0.337962448617
apoca	uberon_0002103:0.300411065437
casp12	uberon_0002103:0.234015930557
casp14	uberon_0002103:0.310758407222
olfr805	uberon_0002103:0.375513831796
kcna6	uberon_0002103:0.300411065437
kcna7	uberon_0002103:0.0751027663593
kcna4	uberon_0002103:1.57715809355
kcna5	uberon_0002103:0.230129141331
kcna2	uberon_0002103:0.0569391332879
kcna3	uberon_0002103:0.0825365393326
kcna1	uberon_0002103:1.53761803561
2700060e02rik	uberon_0002103:0.262859682258
apba2	uberon_0002103:0.262859682258
pamr1	uberon_0002103:0.0375513831796
insig2	uberon_0002103:0.375513831796
gm15800	uberon_0002103:0.262859682258
insig1	uberon_0002103:0.091576947656
batf2	uberon_0002103:0.467095949752
ttc28	uberon_0002103:38.0024852003
tmigd1	uberon_0002103:0.0375513831796
krr1	uberon_0002103:5.85801577602
tg(ef1a-cdc7)dko28hmas	uberon_0002103:0.375513831796
tg(mmtv-myc)wt21jrn	uberon_0002103:1.76491500944
crts	uberon_0002103:0.0375513831796
vtbt12	uberon_0002103:1.05143872903
tg(il1a)1.1tsk	uberon_0002103:0.563270747695
me1	uberon_0002103:1.6522608599
gm21726	uberon_0002103:6.20903633579
me3	uberon_0002103:1.99022330852
mcg_5020	uberon_0002103:0.0375513831796
a4galt	uberon_0002103:3.51379241886
tmx3	uberon_0002103:0.0108239260946
fam72a	uberon_0002103:0.0375513831796
trdn	uberon_0002103:19.3659164232
timmdc1	uberon_0002103:1.99022330852
ttc27	uberon_0002103:0.751027663593
sh3bgrl3	uberon_0002103:0.488167981335
jam3	uberon_0002103:2.32591166438
dr1	uberon_0002103:0.0215156181229
neb	uberon_0002103:17.0531690012
ap1g2	uberon_0002103:1.16409287857
ccl24	uberon_0002103:0.127746705953
vtbt15	uberon_0002103:1.05143872903
raph1	uberon_0002103:0.0375513831796
zfp148	uberon_0002103:30.5456987928
2310008h04rik	uberon_0002103:0.150205532719
oma1	uberon_0002103:0.563270747695
zfp143	uberon_0002103:1.53907218037
zfp142	uberon_0002103:0.150205532719
zfp141	uberon_0002103:6.9893799878
icosl	uberon_0002103:1.26085262854
4930455f23rik	uberon_0002103:0.0375513831796
nes	uberon_0002103:0.467095949752
sars2	uberon_0002103:0.109135705074
mea	uberon_0002103:0.0375513831796
camkmt	uberon_0002103:0.147329008488
camk2a	uberon_0002103:0.637733619551
nmrk2	uberon_0002103:0.427874901286
nmrk1	uberon_0002103:0.600822130874
mir1a-1	uberon_0002103:0.0751027663593
aa467197	uberon_0002103:0.112654149539
gm3727	uberon_0002103:0.0751027663593
olfr494	uberon_0002103:19.3765137207
